Date,ABCB4,BBAS3,BBDC4,BPAN4,BTOW3,CGAS3,CMIG4,CSNA3,CYRE3,ELET3,ELPL4,ENBR3,EQTL3,EZTC3,FIBR3,GOAU4,HGTX3,ITUB4,LAME4,LREN3,MRVE3,MYPK3,PETR4,POMO4,QGEP3,RAPT4,SAPR4,SBSP3,SUZB5,TUPY3,USIM5,VALE5,WEGE3
7/26/2012,5.672397,14.662937,15.357832,NA,5.73858,22.194088,18.430344,7.214896,12.92884,11.511928,16.266975,10.488926,14.580657,14.516414,13.750554,20.615835,30.016499,18.525003,8.875658,6.800248,8.46599,19.552242,17.785625,4.119243,8.331715,6.338035,5.182216,23.028828,3.717816,21.152107,5.927641,28.182756,5.972428
7/27/2012,6.135455,15.403565,16.212519,NA,6.27542,22.194088,18.870153,7.683397,13.705482,11.511928,16.779322,10.488926,14.580657,14.516414,13.750554,20.615835,32.036926,19.212868,9.375515,7.209499,8.881149,20.098171,18.625963,4.23815,8.631618,6.453276,5.344584,23.550594,3.772489,21.84185,6.582958,29.305611,6.023796
7/30/2012,6.233853,15.66706,16.409342,NA,6.52532,22.138561,19.032782,7.956688,14.162333,12.389361,16.9928,10.596474,14.176446,15.089274,14.107712,22.211895,33.405334,19.740654,9.401152,7.322819,9.393992,19.955021,18.755245,4.395277,8.612874,6.525299,5.27693,24.144468,3.726928,21.84185,6.960262,29.233932,6.165087
7/31/2012,6.199121,15.52463,16.367897,NA,6.18286,22.199638,18.731527,8.222172,13.522742,12.415684,16.437757,10.412083,13.928383,15.215049,13.839844,22.154894,32.568184,19.254459,9.330664,7.309696,9.076519,19.77599,18.007252,4.28911,8.444179,6.482082,5.209278,24.277679,3.708703,22.071764,7.327637,28.987068,5.943524
8/1/2012,6.378557,15.809486,16.445576,NA,6.43277,21.977642,18.741055,7.94888,14.189742,12.520977,16.437757,10.412083,13.928383,15.215049,13.839844,22.154894,32.849915,19.125015,9.46524,7.396769,8.726483,19.802851,18.302757,4.425006,8.575387,6.698152,5.134859,23.728184,3.644917,22.163731,7.208488,29.10652,5.937105
8/2/2012,6.280158,15.731146,16.268372,NA,6.29393,21.922115,18.784113,7.675588,13.860812,12.22265,16.437757,10.104717,13.63436,15.284891,13.545189,21.82238,32.19791,18.6325,9.272988,7.074657,8.22178,19.507532,18.099598,4.23815,8.519156,6.842198,5.243104,23.450691,3.590244,22.071764,7.18863,28.732237,6.043064
8/3/2012,6.557991,16.464657,16.740107,NA,6.84002,22.199638,18.788912,8.151896,14.756237,12.678914,16.437757,10.104717,13.873288,15.655143,14.116641,22.439905,32.922367,19.196251,9.638295,7.426623,8.726483,20.044445,18.41357,4.24665,8.603503,7.01506,5.216042,24.033485,3.690479,22.071764,7.843947,29.066704,6.110495
8/6/2012,6.77215,16.970278,17.118595,NA,7.08993,21.783356,18.9562,8.760945,15.669937,12.863175,16.437757,10.104717,13.873288,15.655143,14.116641,23.342442,33.20409,19.629433,9.689532,7.641321,8.986974,21.019831,18.395102,4.28911,9.090847,7.209517,5.249869,24.338707,3.690479,22.071764,8.459549,29.385246,6.181141
8/7/2012,6.725845,16.770874,17.289665,NA,6.60863,22.060877,18.889284,8.667247,15.030348,12.863175,16.437757,10.104717,13.873288,15.655143,14.348792,23.342442,32.801624,NA,9.529317,7.396769,8.783464,21.019831,18.699839,4.331579,8.969011,7.022261,5.27693,24.519125,3.699591,22.29248,7.744657,29.393209,6.245358
8/8/2012,6.754787,17.005882,17.522928,NA,6.8863,22.144112,19.142681,8.760945,15.468921,12.863175,15.84002,10.104717,13.873288,15.655143,13.982706,23.342442,34.661053,NA,9.529317,7.396769,9.198626,21.019831,19.558647,4.331579,9.072104,7.022261,5.256635,24.754988,3.772489,22.29248,8.191464,29.67989,6.165087
8/9/2012,6.557991,16.656931,17.419262,NA,6.79374,22.144112,19.136612,8.768753,15.733895,13.380861,16.30113,10.450506,14.516335,15.75295,13.964849,22.905422,34.041237,20.062605,9.548543,7.517305,9.12536,21.932562,19.392427,4.599113,8.922152,6.827796,5.216042,24.244377,3.73604,22.209713,7.963096,29.90287,6.181141
8/10/2012,6.575352,17.219524,17.704437,NA,6.83077,22.088638,19.128351,8.472038,15.8344,13.336989,16.266975,10.450506,14.828719,15.92759,14.286291,23.560951,35.22451,20.282148,9.792098,7.808383,9.296308,22.639492,19.457067,4.756239,8.940895,6.993446,5.547542,24.91601,3.799826,22.297083,7.963096,29.990469,6.100862
8/13/2012,6.743207,16.685415,17.704437,NA,6.67342,21.64465,19.147478,8.401764,15.53288,13.345764,16.488993,10.450506,14.828719,15.92759,14.634518,23.560951,35.232563,20.145668,9.843332,7.944407,9.166063,22.639492,19.42013,4.875147,8.940895,6.921423,5.804622,24.749496,3.754265,22.297083,8.102102,29.990469,6.322423
8/14/2012,6.65639,16.001768,17.611111,NA,6.21988,21.922115,19.023182,8.159705,14.893291,13.328215,16.488993,10.450506,14.828719,15.92759,14.634518,23.685102,34.604702,NA,9.843332,7.944407,9.198626,22.639492,19.244675,4.777478,9.681283,6.63333,5.811389,24.754988,3.745152,22.29248,7.982954,28.859653,6.441223
8/15/2012,6.720056,16.486017,17.77697,NA,5.9237,21.64465,19.027981,8.081622,15.167401,13.723061,16.488993,10.450506,14.828719,15.92759,14.634518,23.685102,34.701302,NA,9.843332,7.944407,9.206765,22.639492,19.438599,4.777478,9.681283,6.907021,5.95346,24.560751,3.635805,22.297083,7.784373,28.270353,6.267832
8/16/2012,7.03262,16.770874,17.891071,NA,6.18286,22.194088,19.066166,8.409573,15.53288,13.802029,16.488993,10.450506,14.828719,15.92759,14.804168,23.685102,35.92482,NA,9.843332,7.944407,9.711468,22.639492,19.817211,4.671311,9.793747,7.058269,5.885807,25.523783,3.73604,22.710928,7.982954,28.60482,6.213249
8/17/2012,6.957374,16.813599,18.031015,NA,6.55309,22.194088,18.841497,8.315872,15.715622,13.468605,16.488993,10.450506,14.828719,15.92759,14.804168,23.685102,35.900673,NA,8.978195,7.814353,9.784733,22.639492,19.900324,4.71378,9.709399,7.144695,5.885807,25.426622,3.708703,22.968431,7.903522,27.800508,6.190767
8/20/2012,7.061563,16.642691,17.973963,NA,6.79374,22.194088,18.822369,8.573545,15.53288,13.468605,16.488993,10.450506,14.828719,15.92759,14.804168,23.685102,35.916767,20.383007,8.978195,7.814353,9.784733,22.639492,NA,4.71378,9.690655,7.326973,NA,25.426622,NA,22.968431,NA,27.800508,6.190767
8/21/2012,7.264142,16.59284,17.922125,NA,6.93258,22.199638,18.621555,8.534506,15.459785,13.617769,16.318211,10.565768,15.343306,16.200035,14.420224,23.446342,36.488281,20.264334,9.253761,7.883578,9.304449,23.570166,19.614054,4.828438,9.746887,7.087083,5.82492,25.443275,4.027634,22.968431,8.082245,28.087196,6.332057
8/22/2012,7.177322,16.789059,17.937691,NA,7.12695,22.699097,18.631155,8.846838,15.432373,13.749383,16.309671,10.550415,15.343306,16.088245,14.955961,23.618254,36.158245,20.341492,9.420377,8.075637,9.32073,23.265921,19.844915,4.875147,10.402927,6.950237,6.217306,25.665319,4.228104,22.968431,8.578697,28.119047,6.312789
8/23/2012,7.240989,16.545643,17.77697,NA,7.03439,22.421633,18.119558,9.018621,14.820196,13.328215,16.224279,10.527347,15.251387,15.990437,14.536302,22.768265,34.339069,20.205,9.362702,7.911006,9.239326,22.952663,19.650991,4.730761,10.121768,6.698152,6.203775,25.107498,4.237216,22.968431,8.638271,27.227139,6.389855
8/24/2012,7.240989,16.481203,17.652603,NA,7.13621,22.416079,18.167345,8.526697,15.076031,13.249247,16.096195,10.45822,15.021688,16.207027,14.518443,22.653658,34.451763,20.181284,9.362702,7.760677,9.271889,22.845297,19.604818,4.751998,9.981187,6.662145,6.088766,25.351694,4.237216,22.526995,8.350328,27.012123,6.264626
8/27/2012,7.107867,16.853493,17.528145,NA,6.77523,22.754623,18.310774,8.292447,14.98466,13.214149,16.121813,10.465859,15.012553,16.702976,13.884488,22.22389,34.331024,19.878685,9.27939,7.833447,9.434696,23.301712,19.734102,4.671311,10.496648,6.863812,5.85198,25.115828,4.018521,22.264893,8.151748,26.590061,6.38022
8/28/2012,7.090497,17.225784,17.719999,NA,6.89556,22.754623,18.263058,8.066006,15.523744,13.398411,16.266975,10.358312,14.865542,16.765903,14.12557,22.252539,35.015221,19.878685,9.35629,8.002871,9.442837,23.847546,19.706398,4.565143,10.590368,7.252734,5.919635,25.310064,4.09142,22.29248,8.131889,26.582096,6.332057
8/29/2012,7.055772,16.939405,17.455532,NA,6.77523,22.749071,18.167345,7.714629,15.258772,13.073759,15.908333,10.289106,15.297346,16.668098,13.643408,21.851418,34.612743,19.397985,9.31784,8.064877,9.442837,23.802744,19.586349,4.667062,10.487276,7.454401,5.919635,24.763317,3.918286,21.611937,7.804231,25.849455,6.405909
8/30/2012,7.090497,16.746103,17.471087,NA,7.21951,22.737967,17.507595,7.542847,15.414102,12.442007,15.711933,10.173921,15.196294,17.003391,13.723768,21.727262,35.538441,19.285213,9.452416,7.993289,9.483538,24.921371,19.429365,4.671311,10.440416,7.627254,5.892572,24.596804,3.991184,21.382021,7.82409,25.73797,6.460492
8/31/2012,7.223628,16.595753,17.108246,NA,7.37686,22.921091,16.527531,7.80833,15.085168,11.424185,15.882715,9.966384,14.286727,17.115183,14.098783,21.22109,35.699425,18.810514,9.362702,7.983778,9.589362,25.762529,19.161564,4.832679,10.477904,7.634456,5.919635,23.811441,4.100532,21.565954,8.092174,26.422829,6.454072
